customer_id,timestamp,channel,conversion,revenue
25795,2024-01-01 00:00:00,Social Media,0,0
10860,2024-01-01 00:01:00,Email,0,0
48158,2024-01-01 00:02:00,Display Ads,0,64
21284,2024-01-01 00:03:00,Display Ads,0,0
16265,2024-01-01 00:04:00,Display Ads,0,402
26850,2024-01-01 00:05:00,Email,1,0
47194,2024-01-01 00:06:00,Paid Search,0,0
31962,2024-01-01 00:07:00,Organic,0,0
26023,2024-01-01 00:08:00,Direct,0,0
11685,2024-01-01 00:09:00,Social Media,0,0
10769,2024-01-01 00:10:00,Paid Search,0,0
12433,2024-01-01 00:11:00,Social Media,0,0
15311,2024-01-01 00:12:00,Direct,0,0
47819,2024-01-01 00:13:00,Email,0,0
49188,2024-01-01 00:14:00,Display Ads,0,0
27568,2024-01-01 00:15:00,Display Ads,0,481
29769,2024-01-01 00:16:00,Email,0,0
38693,2024-01-01 00:17:00,Paid Search,0,0
16396,2024-01-01 00:18:00,Paid Search,1,0
37480,2024-01-01 00:19:00,Social Media,0,468
35658,2024-01-01 00:20:00,Email,0,0
28942,2024-01-01 00:21:00,Paid Search,0,402
28431,2024-01-01 00:22:00,Email,0,0
12747,2024-01-01 00:23:00,Direct,1,385
10189,2024-01-01 00:24:00,Display Ads,0,0
29118,2024-01-01 00:25:00,Display Ads,0,0
45773,2024-01-01 00:26:00,Display Ads,0,0
11899,2024-01-01 00:27:00,Email,0,0
11267,2024-01-01 00:28:00,Email,1,448
41551,2024-01-01 00:29:00,Social Media,0,0
21394,2024-01-01 00:30:00,Display Ads,0,0
13556,2024-01-01 00:31:00,Social Media,0,265
13890,2024-01-01 00:32:00,Display Ads,0,0
40740,2024-01-01 00:33:00,Social Media,1,98
24502,2024-01-01 00:34:00,Social Media,0,0
31777,2024-01-01 00:35:00,Direct,0,178
20627,2024-01-01 00:36:00,Social Media,0,0
18792,2024-01-01 00:37:00,Email,0,0
18433,2024-01-01 00:38:00,Social Media,0,0
21016,2024-01-01 00:39:00,Display Ads,0,0
33897,2024-01-01 00:40:00,Social Media,0,0
12612,2024-01-01 00:41:00,Paid Search,0,0
33483,2024-01-01 00:42:00,Organic,0,114
27159,2024-01-01 00:43:00,Display Ads,1,267
24541,2024-01-01 00:44:00,Paid Search,0,100
45920,2024-01-01 00:45:00,Display Ads,0,476
36531,2024-01-01 00:46:00,Email,0,0
11585,2024-01-01 00:47:00,Organic,0,458
13943,2024-01-01 00:48:00,Organic,0,123
33939,2024-01-01 00:49:00,Email,1,0
29457,2024-01-01 00:50:00,Organic,0,0
11021,2024-01-01 00:51:00,Email,0,241
21653,2024-01-01 00:52:00,Paid Search,0,0
23417,2024-01-01 00:53:00,Direct,0,0
19692,2024-01-01 00:54:00,Display Ads,0,0
16873,2024-01-01 00:55:00,Email,0,409
15675,2024-01-01 00:56:00,Display Ads,0,130
10161,2024-01-01 00:57:00,Paid Search,0,0
47065,2024-01-01 00:58:00,Direct,0,0
36557,2024-01-01 00:59:00,Paid Search,0,0
43763,2024-01-01 01:00:00,Organic,0,0
42606,2024-01-01 01:01:00,Display Ads,0,0
21534,2024-01-01 01:02:00,Direct,0,0
39127,2024-01-01 01:03:00,Organic,0,84
35851,2024-01-01 01:04:00,Direct,0,0
11016,2024-01-01 01:05:00,Organic,0,0
34253,2024-01-01 01:06:00,Paid Search,0,364
34276,2024-01-01 01:07:00,Email,0,0
33247,2024-01-01 01:08:00,Display Ads,0,0
34300,2024-01-01 01:09:00,Social Media,0,0
18529,2024-01-01 01:10:00,Social Media,0,0
27262,2024-01-01 01:11:00,Paid Search,1,292
19268,2024-01-01 01:12:00,Display Ads,0,91
31271,2024-01-01 01:13:00,Display Ads,0,0
22185,2024-01-01 01:14:00,Paid Search,0,0
31243,2024-01-01 01:15:00,Display Ads,0,0
49099,2024-01-01 01:16:00,Email,0,0
18571,2024-01-01 01:17:00,Paid Search,0,0
49976,2024-01-01 01:18:00,Email,0,0
48044,2024-01-01 01:19:00,Display Ads,0,0
12568,2024-01-01 01:20:00,Paid Search,0,388
